"Имя образа","PID","Имя сессии","№ сеанса","Память","Состояние","Пользователь","Время ЦП","Заголовок окна"
"nvcontainer.exe","9364","Console","1","88 892 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:09:54","BroadcastListenerWindow"
"svchost.exe","9492","Console","1","36 132 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:05","Windows Push Notifications Platform"
"svchost.exe","9580","Services","0","11 240 КБ","Unknown","Н/Д","0:00:02","Н/Д"
"svchost.exe","9596","Services","0","14 316 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"taskhostw.exe","9700","Console","1","20 940 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:02","Task Host Window"
"svchost.exe","9708","Services","0","16 472 КБ","Unknown","Н/Д","0:00:05","Н/Д"
"svchost.exe","10160","Services","0","17 332 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"explorer.exe","10132","Console","1","242 380 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:06:35","Н/Д"
"nvsphelper64.exe","10252","Console","1","11 416 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:03","{1274D398-C3C8-422E-87DD-2FAFFD5A7F2F}"
"NVIDIA Overlay.exe","10272","Console","1","154 592 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:20","NVIDIA GeForce Overlay"
"AggregatorHost.exe","10492","Services","0","8 244 КБ","Unknown","Н/Д","0:00:08","Н/Д"
"svchost.exe","10536","Console","1","45 580 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:06","Н/Д"
"StartMenuExperienceHost.exe","11068","Console","1","93 180 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:05","Начальный экран"
"RuntimeBroker.exe","9392","Console","1","33 836 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"NVIDIA Overlay.exe","6024","Console","1","41 564 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"NVIDIA Overlay.exe","5548","Console","1","31 760 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:04","OleMainThreadWndName"
"Pen_TabletUser.exe","6176","Console","1","9 044 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"WacomHost.exe","4744","Console","1","10 112 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"NVIDIA Overlay.exe","10080","Console","1","19 028 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"Pen_Tablet.exe","11340","Console","1","33 228 КБ","Running","Н/Д","0:00:05","Н/Д"
"Pen_TouchUser.exe","11488","Console","1","16 096 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:10","Н/Д"
"RuntimeBroker.exe","11624","Console","1","42 848 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:05","Н/Д"
"NVIDIA Overlay.exe","12024","Console","1","60 588 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:13","Н/Д"
"svchost.exe","5340","Services","0","15 968 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"MoUsoCoreWorker.exe","2192","Services","0","22 876 КБ","Unknown","Н/Д","0:00:05","Н/Д"
"TextInputHost.exe","2948","Console","1","58 960 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:10","Microsoft Text Input Application"
"Razer Synapse Service Process.exe","12904","Console","1","55 164 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:38","Н/Д"
"UserOOBEBroker.exe","1604","Console","1","10 016 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"ctfmon.exe","13784","Console","1","23 648 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:12","Н/Д"
"RtkAudUService64.exe","10344","Console","1","14 444 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","RealtekAudioBackgroundProcessClass"
"PenTablet.exe","9332","Console","1","23 992 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Pentablet"
"steam.exe","2084","Console","1","121 392 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:33","Без названия"
"wallpaper32.exe","14492","Console","1","29 256 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:25","Н/Д"
"MathWorksServiceHost.exe","14656","Console","1","67 492 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:16","Н/Д"
"WhatsApp.Root.exe","14720","Console","1","123 916 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:12","GDI+ Window (WhatsApp.Root.exe)"
"vkise.exe","14968","Console","1","21 100 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"RuntimeBroker.exe","5108","Console","1","9 924 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"msedgewebview2.exe","14788","Console","1","76 296 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:15","Н/Д"
"msedgewebview2.exe","10680","Console","1","10 400 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"msedgewebview2.exe","4632","Console","1","16 760 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"msedgewebview2.exe","768","Console","1","28 988 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:02","OleMainThreadWndName"
"msedgewebview2.exe","15428","Console","1","9 468 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"svchost.exe","16120","Services","0","17 384 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"MathWorksServiceHost-Monitor.exe","16156","Console","1","40 788 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:14","Н/Д"
"steamwebhelper.exe","2264","Console","1","146 232 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:58","Steam"
"steamwebhelper.exe","13640","Console","1","11 728 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"SteamService.exe","11600","Services","0","10 756 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"steamwebhelper.exe","9468","Console","1","174 544 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:30","Н/Д"
"steamwebhelper.exe","4184","Console","1","36 816 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:04","Н/Д"
"steamwebhelper.exe","4504","Console","1","17 008 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"steamwebhelper.exe","16328","Console","1","320 876 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:03:00","Н/Д"
"svchost.exe","15796","Services","0","16 780 КБ","Unknown","Н/Д","0:00:05","Н/Д"
"svchost.exe","13416","Console","1","20 916 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"svchost.exe","6836","Services","0","17 124 КБ","Unknown","Н/Д","0:00:06","Н/Д"
"svchost.exe","7924","Services","0","9 944 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"SecurityHealthService.exe","2316","Services","0","11 732 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"ApplicationFrameHost.exe","5036","Console","1","25 676 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Параметры"
"CalculatorApp.exe","8424","Console","1","1 572 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Калькулятор"
"RuntimeBroker.exe","13340","Console","1","6 956 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","13500","Console","1","393 540 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:19:43","TASKLIST - отобразить список задач на локальном или удаленном компьютере. - Google Chrome"
"chrome.exe","12936","Console","1","9 500 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","4984","Console","1","276 324 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:34:32","Н/Д"
"chrome.exe","8796","Console","1","63 868 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:03:23","OleMainThreadWndName"
"chrome.exe","2136","Console","1","30 368 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:33","Н/Д"
"dllhost.exe","11616","Console","1","12 760 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","OleMainThreadWndName"
"Telegram.exe","5848","Console","1","298 528 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:12:08","(9) ?Python - (16332)"
"chrome.exe","7328","Console","1","615 272 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:11:12","Н/Д"
"CompPkgSrv.exe","1388","Console","1","9 436 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"Discord.exe","12584","Console","1","106 768 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:40","#основной | Туалет Сектора Копрулу - Discord"
"Discord.exe","1788","Console","1","39 460 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"Discord.exe","7368","Console","1","104 200 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:23","Н/Д"
"Discord.exe","6924","Console","1","38 860 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:04","OleMainThreadWndName"
"chrome.exe","1676","Console","1","22 248 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:52","Н/Д"
"winws.exe","17088","Console","1","7 688 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:48","zapret: general (ALT10)"
"conhost.exe","16712","Console","1","11 088 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:06","Н/Д"
"chrome.exe","17332","Console","1","33 992 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"svchost.exe","6624","Services","0","10 580 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"Discord.exe","6680","Console","1","429 684 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:07:01","Discord Overlay Input Trap"
"Discord.exe","16976","Console","1","44 308 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"ShellExperienceHost.exe","8004","Console","1","65 792 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:22","Хост Windows Shell Experience"
"RuntimeBroker.exe","17144","Console","1","21 024 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:05","Н/Д"
"taskhostw.exe","17840","Console","1","10 552 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Task Host Window"
"SystemSettings.exe","9220","Console","1","1 540 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Параметры"
"svchost.exe","6932","Console","1","12 836 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","9052","Console","1","163 076 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:35","Н/Д"
"LockApp.exe","9048","Console","1","50 404 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Не нравится."
"RuntimeBroker.exe","10776","Console","1","31 464 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","7880","Console","1","174 460 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:04:12","Н/Д"
"chrome.exe","4336","Console","1","53 092 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:12","Н/Д"
"OneDrive.Sync.Service.exe","18080","Console","1","8 516 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:01","Microsoft OneDrive Sync Service"
"chrome.exe","13368","Console","1","157 888 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:01:27","Н/Д"
"chrome.exe","5436","Console","1","637 316 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:08:23","Н/Д"
"rundll32.exe","6492","Console","1","16 076 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","OleMainThreadWndName"
"dllhost.exe","21096","Console","1","8 088 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","OleMainThreadWndName"
"vmcompute.exe","17212","Services","0","10 188 КБ","Unknown","Н/Д","0:00:00","Н/Д"
